"region";"hustyp";"2015"
"1285 Eslöv";"specialbostäder";622
"1286 Ystad";"småhus";7344
"1286 Ystad";"flerbostadshus";6383
"1286 Ystad";"övriga hus";198
"1286 Ystad";"specialbostäder";484
"1287 Trelleborg";"småhus";10751
"1287 Trelleborg";"flerbostadshus";8412
"1287 Trelleborg";"övriga hus";210
"1287 Trelleborg";"specialbostäder";519
"1290 Kristianstad";"småhus";21257
"1290 Kristianstad";"flerbostadshus";15044
"1290 Kristianstad";"övriga hus";397
"1290 Kristianstad";"specialbostäder";2026
"1291 Simrishamn";"småhus";6852
"1291 Simrishamn";"flerbostadshus";2675
"1291 Simrishamn";"övriga hus";75
"1291 Simrishamn";"specialbostäder";370
"1292 Ängelholm";"småhus";11037
"1292 Ängelholm";"flerbostadshus";7526
"1292 Ängelholm";"övriga hus";85
"1292 Ängelholm";"specialbostäder";530
"1293 Hässleholm";"småhus";14859
"1293 Hässleholm";"flerbostadshus";8071
"1293 Hässleholm";"övriga hus";318
"1293 Hässleholm";"specialbostäder";1092
"1315 Hylte";"småhus";3533
"1315 Hylte";"flerbostadshus";1063
"1315 Hylte";"övriga hus";70
"1315 Hylte";"specialbostäder";158
"1380 Halmstad";"småhus";20889
"1380 Halmstad";"flerbostadshus";21568
"1380 Halmstad";"övriga hus";646
"1380 Halmstad";"specialbostäder";2794
"1381 Laholm";"småhus";8872
"1381 Laholm";"flerbostadshus";1754
"1381 Laholm";"övriga hus";225
"1381 Laholm";"specialbostäder";247
"1382 Falkenberg";"småhus";12213
"1382 Falkenberg";"flerbostadshus";6394
"1382 Falkenberg";"övriga hus";445
"1382 Falkenberg";"specialbostäder";517
"1383 Varberg";"småhus";15262
"1383 Varberg";"flerbostadshus";11523
"1383 Varberg";"övriga hus";359
"1383 Varberg";"specialbostäder";920
"1384 Kungsbacka";"småhus";23248
"1384 Kungsbacka";"flerbostadshus";7487
"1384 Kungsbacka";"övriga hus";166
"1384 Kungsbacka";"specialbostäder";1129
"1401 Härryda";"småhus";10320
"1401 Härryda";"flerbostadshus";3240
"1401 Härryda";"övriga hus";109
"1401 Härryda";"specialbostäder";459
"1402 Partille";"småhus";7092
"1402 Partille";"flerbostadshus";7556
