"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0482 Flen";"samtliga hushåll";"50-64 år";451.7;402.3
"0482 Flen";"samtliga hushåll";"65+ år";301.1;235.7
"0482 Flen";"samtliga hushåll";"65-79 år";333.4;271.8
"0482 Flen";"samtliga hushåll";"80+ år";219.7;154.5
"0483 Katrineholm";"samtliga hushåll";"18+ år";373.8;300.6
"0483 Katrineholm";"samtliga hushåll";"18-29 år";298.2;255.8
"0483 Katrineholm";"samtliga hushåll";"30-49 år";438.8;404.2
"0483 Katrineholm";"samtliga hushåll";"50-64 år";461.1;405.2
"0483 Katrineholm";"samtliga hushåll";"65+ år";276.5;213.0
"0483 Katrineholm";"samtliga hushåll";"65-79 år";313.4;258.4
"0483 Katrineholm";"samtliga hushåll";"80+ år";203.2;155.9
"0484 Eskilstuna";"samtliga hushåll";"18+ år";386.3;305.5
"0484 Eskilstuna";"samtliga hushåll";"18-29 år";285.5;238.7
"0484 Eskilstuna";"samtliga hushåll";"30-49 år";452.2;408.3
"0484 Eskilstuna";"samtliga hushåll";"50-64 år";462.8;400.0
"0484 Eskilstuna";"samtliga hushåll";"65+ år";295.4;221.4
"0484 Eskilstuna";"samtliga hushåll";"65-79 år";327.0;263.0
"0484 Eskilstuna";"samtliga hushåll";"80+ år";219.5;157.8
"0486 Strängnäs";"samtliga hushåll";"18+ år";476.7;381.5
"0486 Strängnäs";"samtliga hushåll";"18-29 år";340.8;287.7
"0486 Strängnäs";"samtliga hushåll";"30-49 år";552.8;518.5
"0486 Strängnäs";"samtliga hushåll";"50-64 år";561.3;480.3
"0486 Strängnäs";"samtliga hushåll";"65+ år";370.1;264.4
"0486 Strängnäs";"samtliga hushåll";"65-79 år";412.3;304.5
"0486 Strängnäs";"samtliga hushåll";"80+ år";258.6;170.8
"0488 Trosa";"samtliga hushåll";"18+ år";518.9;413.2
"0488 Trosa";"samtliga hushåll";"18-29 år";350.4;301.7
"0488 Trosa";"samtliga hushåll";"30-49 år";587.5;529.9
"0488 Trosa";"samtliga hushåll";"50-64 år";613.7;525.1
"0488 Trosa";"samtliga hushåll";"65+ år";423.7;298.4
"0488 Trosa";"samtliga hushåll";"65-79 år";465.3;336.9
"0488 Trosa";"samtliga hushåll";"80+ år";275.2;173.9
"0509 Ödeshög";"samtliga hushåll";"18+ år";376.5;311.5
"0509 Ödeshög";"samtliga hushåll";"18-29 år";340.1;289.1
"0509 Ödeshög";"samtliga hushåll";"30-49 år";460.5;452.7
"0509 Ödeshög";"samtliga hushåll";"50-64 år";436.6;386.8
"0509 Ödeshög";"samtliga hushåll";"65+ år";281.5;219.4
"0509 Ödeshög";"samtliga hushåll";"65-79 år";323.3;266.1
"0509 Ödeshög";"samtliga hushåll";"80+ år";185.0;146.0
"0512 Ydre";"samtliga hushåll";"18+ år";410.1;343.0
"0512 Ydre";"samtliga hushåll";"18-29 år";363.5;340.0
"0512 Ydre";"samtliga hushåll";"30-49 år";496.7;475.8
"0512 Ydre";"samtliga hushåll";"50-64 år";506.7;438.7
"0512 Ydre";"samtliga hushåll";"65+ år";302.2;227.0
"0512 Ydre";"samtliga hushåll";"65-79 år";346.4;279.8
"0512 Ydre";"samtliga hushåll";"80+ år";198.1;148.0
"0513 Kinda";"samtliga hushåll";"18+ år";405.3;330.2
"0513 Kinda";"samtliga hushåll";"18-29 år";320.1;270.0
"0513 Kinda";"samtliga hushåll";"30-49 år";492.4;489.4
"0513 Kinda";"samtliga hushåll";"50-64 år";503.9;450.5
"0513 Kinda";"samtliga hushåll";"65+ år";293.6;226.9
"0513 Kinda";"samtliga hushåll";"65-79 år";330.6;266.1
"0513 Kinda";"samtliga hushåll";"80+ år";208.3;151.4
"0560 Boxholm";"samtliga hushåll";"18+ år";390.6;331.1
"0560 Boxholm";"samtliga hushåll";"18-29 år";308.1;260.5
