Anlaggningsnamn;WGS84Ost;WGS84Nord;ParameterKortnamn;Varde_BehArv
BÑlinge avfallsupplag;12,58099684;57,9460542;Total P;25.100000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;TOC;3731.000000000000000
Milko, BollnÑs;16,39166851;61,33873145;COD-cr;140100.000000000000000
Milko, BollnÑs;16,39166851;61,33873145;Total P;1500.000000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Zn;1.850000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;As;0.099000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;BOD7;925.000000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Cd;0.005600000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Total Cl;8623.000000000000000
PA RESINS AB;13,39293978;56,127221;Phenols;11933.000000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;COD-cr;12699.000000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Cr;0.500000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Cu;0.229000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Total Cl;313813.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Total F;260.000000000000000
PA RESINS AB;13,39293978;56,127221;BOD7;65584.000000000000000
PA RESINS AB;13,39293978;56,127221;Nonylphenols;1.400000000000000
BÑlinge avfallsupplag;12,58099684;57,9460542;Phenols;0.235000000000000
Tîreboda avfallsupplag;14,09756125;58,67950602;Total P;13.000000000000000
Tîreboda avfallsupplag;14,09756125;58,67950602;TOC;1615.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Hg;0.005000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;NH4-N;1611.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Ni;4.050000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Total N;4485.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Pb;0.048000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Total P;82.500000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Zn;2.240000000000000
PA RESINS AB;13,39293978;56,127221;TOC;37383.000000000000000
Minpro AB;15,20144883;59,74383516;Total CN;0.020000000000000
Minpro AB;15,20144883;59,74383516;Cr;0.040000000000000
Arla Foods AB, Falkenbergsmeje;12,53664434;56,89794277;Total P;7762.000000000000000
Arla Foods AB, Falkenbergsmeje;12,53664434;56,89794277;TOC;127285.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;COD-cr;9495.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Cr;0.440000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Cu;0.270000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Hg;0.005000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;NH4-N;2447.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Ni;0.620000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Total N;2483.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Pb;0.050000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Total P;41.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;TOC;1826.000000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Zn;5.110000000000000
Oskarshamns kÑrnkraftverk;16,66965728;57,41313993;Sludge;20480.000000000000000
Minpro AB;15,20144883;59,74383516;Total F;6.000000000000000
Minpro AB;15,20144883;59,74383516;Hg;0.000400000000000
Tîreboda avfallsupplag;14,09756125;58,67950602;BOD7;780.000000000000000
Tîreboda avfallsupplag;14,09756125;58,67950602;NH4-N;1832.000000000000000
Tîreboda avfallsupplag;14,09756125;58,67950602;Total N;3028.000000000000000
Arla Foods AB, Falkenbergsmeje;12,53664434;56,89794277;COD-cr;514779.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Cu;0.500000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Hg;0.016000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Ni;0.750000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Nonylphenols;0.270000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Total N;2020.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Pb;0.140000000000000
