"1442 V�rg�rda";4.01;1.93;6.12;7.19;8.89;1.31;..;..;9.89;9.96;8.78;9.86;8.89;8.30;9.55;8.65
"1443 Bollebygd";5.50;9.86;5.32;9.10;9.75;5.60;..;..;0.44;0.20;1.10;1.24;0.20;9.51;0.13;0.58
"1444 Gr�storp";9.89;9.65;9.41;9.75;9.82;3.94;..;..;5.08;1.00;3.01;6.43;8.47;8.51;2.31;2.83
"1445 Essunga";0.00;0.00;8.26;6.29;0.24;0.51;..;..;4.87;1.73;8.02;1.14;3.07;9.86;8.44;9.86
"1446 Karlsborg";9.55;4.39;7.78;3.28;6.43;9.65;..;..;0.65;1.10;0.00;0.55;1.21;6.15;0.20;6.33
"1447 Gullsp�ng";9.27;5.29;4.46;7.33;9.89;1.03;..;..;8.26;4.22;2.11;8.58;8.99;7.71;9.89;2.31
"1452 Tranemo";2.49;1.03;8.09;1.10;3.11;0.48;..;..;2.56;4.08;5.50;0.93;2.21;4.74;5.70;7.16
"1460 Bengtsfors";0.00;0.79;5.46;2.45;5.57;5.50;..;..;8.85;2.49;8.51;3.97;8.75;3.35;1.00;2.07
"1461 Mellerud";8.65;7.68;3.39;9.72;0.69;10.00;..;..;0.27;4.84;4.11;1.41;6.92;6.40;2.49;8.33
"1462 Lilla Edet";8.89;8.71;6.33;9.58;8.51;0.69;..;..;10.00;9.82;9.06;9.96;9.89;9.10;8.20;9.03
"1463 Mark";5.29;4.42;5.12;5.95;4.18;2.00;..;..;5.64;3.66;2.62;4.77;2.38;4.11;2.73;5.01
"1465 Svenljunga";3.07;1.66;0.62;7.09;0.89;5.15;..;..;9.61;8.09;2.00;8.89;8.65;1.66;0.65;7.37
"1466 Herrljunga";8.13;9.20;5.22;7.78;6.81;8.37;..;..;1.14;4.29;7.47;9.37;9.72;8.96;0.79;7.19
"1470 Vara";0.00;0.34;1.34;1.24;0.31;4.67;..;..;8.33;5.60;8.82;7.43;8.02;1.00;1.79;9.79
"1471 G�tene";4.67;3.52;6.08;1.14;5.08;6.95;..;..;8.51;8.30;1.48;7.99;6.78;3.32;2.80;0.31
"1472 Tibro";1.31;1.52;4.60;0.41;1.38;9.06;..;..;2.76;1.31;7.40;1.38;3.14;2.80;7.50;8.96
"1473 T�reboda";8.51;3.70;1.17;7.05;8.47;8.20;..;..;1.45;9.06;8.44;6.05;0.83;8.33;6.15;7.23
"1480 G�teborg";6.50;7.82;6.36;6.47;6.36;5.70;..;..;6.71;8.20;4.70;6.19;5.74;4.60;5.53;5.67
"1481 M�lndal";6.36;8.02;2.38;5.50;7.02;2.73;..;..;5.25;7.82;7.75;7.61;5.81;4.77;3.73;5.70
"1482 Kung�lv";5.19;2.31;3.59;4.63;4.46;2.28;..;..;4.08;7.12;6.36;3.18;3.11;2.45;4.42;1.59
"1484 Lysekil";2.21;8.23;6.26;1.00;3.56;9.89;..;..;9.93;1.41;6.57;7.71;5.57;7.40;2.69;3.70
"1485 Uddevalla";5.67;3.49;6.85;3.63;4.04;4.98;..;..;1.69;3.46;8.23;2.17;2.87;7.23;2.62;1.48
"1486 Str�mstad";2.24;7.47;1.41;8.40;0.55;3.14;..;..;1.34;2.00;0.62;2.21;0.17;1.90;3.59;1.83
"1487 V�nersborg";8.68;7.33;4.67;5.91;3.73;8.51;..;..;5.81;9.13;8.40;6.74;9.06;6.92;3.07;7.68
"1488 Trollh�ttan";6.43;5.95;4.11;6.19;5.29;5.91;..;..;7.68;8.54;5.88;8.75;5.32;7.57;8.26;5.81
"1489 Alings�s";8.26;7.02;3.25;5.32;5.43;6.36;..;..;7.19;6.36;6.88;5.05;4.35;6.47;4.32;4.04
"1490 Bor�s";6.29;4.84;4.25;5.53;8.09;8.54;..;..;5.91;6.57;7.02;3.73;7.43;3.94;4.22;6.98
"1491 Ulricehamn";4.11;3.73;1.14;2.31;7.82;4.46;..;..;2.38;1.55;5.84;1.00;1.28;3.84;0.86;7.33
"1492 �m�l";9.61;5.19;8.13;4.35;4.77;5.36;..;..;5.70;4.46;7.23;2.45;3.04;9.20;6.29;8.92
"1493 Mariestad";3.18;3.04;4.56;3.01;6.05;0.83;..;..;6.64;4.94;6.26;5.01;6.71;5.05;5.08;4.63
"1494 Lidk�ping";5.08;5.46;7.40;4.08;8.30;5.64;..;..;3.46;3.18;8.16;3.46;4.98;5.15;5.43;4.42
"1495 Skara";2.45;1.34;2.07;3.97;2.04;2.42;..;..;5.32;2.56;2.35;3.94;8.37;8.16;5.88;5.57
"1496 Sk�vde";8.06;2.90;2.21;2.87;3.94;6.22;..;..;2.11;3.63;4.80;3.25;5.46;6.67;6.47;4.77
"1497 Hjo";8.23;2.45;9.37;5.84;4.35;4.22;..;..;7.02;8.78;5.95;5.95;8.58;8.61;1.69;6.88
"1498 Tidaholm";2.90;9.03;9.16;6.78;9.03;6.81;..;..;8.99;8.33;5.36;5.91;4.91;9.55;9.03;8.44
